Student_ID,Study_Hours_Per_Day,Attendance_Rate_Percentage,Sleep_Hours_Per_Day,Extracurricular_Hours_Per_Week,Stress_Level,Exam_Score,Passed
STU_0001,3.66,75,6.19,7,Moderate,77.19,Yes
STU_0002,2.84,68,6.83,0,High,73.55,Yes
STU_0003,3.89,66,6.05,7,High,83.84,Yes
STU_0004,5.52,66,6.63,5,High,100.0,Yes
STU_0005,2.74,66,4.73,3,High,61.27,Yes
STU_0006,2.74,64,7.26,12,Moderate,76.34,Yes
STU_0007,5.65,79,7.0,13,High,83.56,Yes
STU_0008,4.08,71,6.02,11,Moderate,82.06,Yes
STU_0009,2.49,68,7.79,7,High,66.39,Yes
STU_0010,3.73,60,8.13,2,High,85.37,Yes
STU_0011,2.5,70,5.07,12,High,71.18,Yes
STU_0012,2.49,61,6.08,3,High,56.96,Yes
STU_0013,3.31,79,6.08,14,Moderate,73.92,Yes
STU_0014,1.4,50,5.87,5,High,55.59,Yes
STU_0015,1.51,69,8.0,10,High,60.17,Yes
STU_0016,2.4,61,6.77,6,High,62.67,Yes
STU_0017,2.0,52,6.68,3,Moderate,56.75,Yes
STU_0018,3.41,59,4.6,3,Moderate,82.37,Yes
STU_0019,2.09,55,7.76,6,High,58.26,Yes
STU_0020,1.71,60,5.51,5,High,59.4,Yes
STU_0021,5.4,75,7.07,12,High,100.0,Yes
STU_0022,2.74,56,7.33,10,High,57.81,Yes
STU_0023,3.09,62,8.63,7,High,59.69,Yes
STU_0024,1.7,73,5.43,0,High,70.17,Yes
STU_0025,2.42,73,4.0,9,Moderate,65.67,Yes
STU_0026,3.14,66,7.22,12,High,73.65,Yes
STU_0027,1.9,57,9.16,10,High,54.85,Yes
STU_0028,3.49,64,8.49,6,High,77.02,Yes
STU_0029,2.36,64,7.25,11,High,80.59,Yes
STU_0030,2.67,52,6.41,6,High,73.72,Yes
STU_0031,2.36,57,7.97,10,Moderate,72.6,Yes
STU_0032,6.3,61,5.83,6,Moderate,94.97,Yes
STU_0033,2.99,65,7.57,6,High,65.19,Yes
STU_0034,1.97,63,7.61,9,High,40.89,Yes
STU_0035,4.17,62,8.27,13,High,78.82,Yes
STU_0036,1.84,69,10.31,9,High,71.75,Yes
STU_0037,3.27,53,7.47,7,High,77.74,Yes
STU_0038,1.37,43,6.39,8,High,49.83,Yes
